"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5722","search_videos","Chrome 1920 - high contrast","Thu Jan 16 12:53:25 UTC 2025","passed","Thu Jan 16 12:53:31 UTC 2025","","searxng.spec.js","",""
"","2053","preferences","Firefox 1280","Thu Jan 16 12:49:26 UTC 2025","passed","Thu Jan 16 12:49:28 UTC 2025","","searxng.spec.js","",""
"","1620","search_general","Firefox 1920 - no js","Thu Jan 16 12:52:33 UTC 2025","passed","Thu Jan 16 12:52:35 UTC 2025","","searxng.spec.js","",""
"","1713","search_code","Firefox 1024 - centered - rtl","Thu Jan 16 12:51:11 UTC 2025","passed","Thu Jan 16 12:51:12 UTC 2025","","searxng.spec.js","",""
"","6468","search_videos","Firefox 1280","Thu Jan 16 12:49:38 UTC 2025","passed","Thu Jan 16 12:49:44 UTC 2025","","searxng.spec.js","",""
"","4514","search_images","Firefox 1920","Thu Jan 16 12:49:05 UTC 2025","passed","Thu Jan 16 12:49:10 UTC 2025","","searxng.spec.js","",""
"","6145","search_videos","Chromium 1920","Thu Jan 16 12:48:44 UTC 2025","passed","Thu Jan 16 12:48:50 UTC 2025","","searxng.spec.js","",""
"","4929","search_map","Mobile Chrome","Thu Jan 16 12:54:28 UTC 2025","passed","Thu Jan 16 12:54:33 UTC 2025","","searxng.spec.js","",""
"","1698","search_map","Firefox 1920 - no js","Thu Jan 16 12:52:42 UTC 2025","passed","Thu Jan 16 12:52:44 UTC 2025","","searxng.spec.js","",""
"","3859","index","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:42 UTC 2025","passed","Thu Jan 16 12:51:46 UTC 2025","","searxng.spec.js","",""
"","1491","preferences","Chrome 1920 - high contrast","Thu Jan 16 12:53:14 UTC 2025","passed","Thu Jan 16 12:53:15 UTC 2025","","searxng.spec.js","",""
"","1699","search_general","Chrome 1920 - high contrast","Thu Jan 16 12:53:19 UTC 2025","passed","Thu Jan 16 12:53:21 UTC 2025","","searxng.spec.js","",""
"","1531","search_code","Mobile Chrome - centered - rtl","Thu Jan 16 12:52:01 UTC 2025","passed","Thu Jan 16 12:52:03 UTC 2025","","searxng.spec.js","",""
"","1528","search_code","Mobile Chrome","Thu Jan 16 12:54:33 UTC 2025","passed","Thu Jan 16 12:54:35 UTC 2025","","searxng.spec.js","",""
"","3888","search_images","Firefox 1920 - dark mode","Thu Jan 16 12:52:55 UTC 2025","passed","Thu Jan 16 12:52:59 UTC 2025","","searxng.spec.js","",""
"","5632","search_map","Webkit 1920","Thu Jan 16 12:54:03 UTC 2025","passed","Thu Jan 16 12:54:09 UTC 2025","","searxng.spec.js","",""
"","3911","index","Firefox 1920 - rtl","Thu Jan 16 12:52:06 UTC 2025","passed","Thu Jan 16 12:52:10 UTC 2025","","searxng.spec.js","",""
"","2061","preferences","Firefox 1920 - dark mode","Thu Jan 16 12:52:47 UTC 2025","passed","Thu Jan 16 12:52:49 UTC 2025","","searxng.spec.js","",""
"","5913","search_videos","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:50 UTC 2025","passed","Thu Jan 16 12:51:56 UTC 2025","","searxng.spec.js","",""
"","1844","search_general","Firefox 1920","Thu Jan 16 12:49:04 UTC 2025","passed","Thu Jan 16 12:49:05 UTC 2025","","searxng.spec.js","",""
"","4043","search_images","Firefox 1920 - rtl","Thu Jan 16 12:52:11 UTC 2025","passed","Thu Jan 16 12:52:16 UTC 2025","","searxng.spec.js","",""
"","6638","search_videos","Firefox 1920","Thu Jan 16 12:49:10 UTC 2025","passed","Thu Jan 16 12:49:17 UTC 2025","","searxng.spec.js","",""
"","5033","search_map","Firefox 1024","Thu Jan 16 12:50:11 UTC 2025","passed","Thu Jan 16 12:50:16 UTC 2025","","searxng.spec.js","",""
"","6384","search_map","Firefox 1024 - centered - rtl","Thu Jan 16 12:51:04 UTC 2025","passed","Thu Jan 16 12:51:11 UTC 2025","","searxng.spec.js","",""
"","4515","index","Webkit 1920","Thu Jan 16 12:53:42 UTC 2025","passed","Thu Jan 16 12:53:46 UTC 2025","","searxng.spec.js","",""
"","4781","search_map","Firefox 1920 - dark mode","Thu Jan 16 12:53:06 UTC 2025","passed","Thu Jan 16 12:53:11 UTC 2025","","searxng.spec.js","",""
"","3467","search_images","Firefox 1024 - centered - rtl","Thu Jan 16 12:50:54 UTC 2025","passed","Thu Jan 16 12:50:57 UTC 2025","","searxng.spec.js","",""
"","1735","search_general","Mobile Chrome","Thu Jan 16 12:54:18 UTC 2025","passed","Thu Jan 16 12:54:19 UTC 2025","","searxng.spec.js","",""
"","3622","search_images","Mobile Chrome - centered","Thu Jan 16 12:51:21 UTC 2025","passed","Thu Jan 16 12:51:24 UTC 2025","","searxng.spec.js","",""
"","4807","search_map","Chromium 1920","Thu Jan 16 12:48:50 UTC 2025","passed","Thu Jan 16 12:48:55 UTC 2025","","searxng.spec.js","",""
"","3860","index","Firefox 1280","Thu Jan 16 12:49:28 UTC 2025","passed","Thu Jan 16 12:49:32 UTC 2025","","searxng.spec.js","",""
"","3307","search_videos","Firefox 1920 - no js","Thu Jan 16 12:52:39 UTC 2025","passed","Thu Jan 16 12:52:42 UTC 2025","","searxng.spec.js","",""
"","250","about","Chromium 1920","Thu Jan 16 12:48:56 UTC 2025","passed","Thu Jan 16 12:48:57 UTC 2025","","searxng.spec.js","",""
"","820","index","Firefox 1920 - no js","Thu Jan 16 12:52:32 UTC 2025","passed","Thu Jan 16 12:52:33 UTC 2025","","searxng.spec.js","",""
"","1740","search_general","Firefox 1024","Thu Jan 16 12:49:59 UTC 2025","passed","Thu Jan 16 12:50:01 UTC 2025","","searxng.spec.js","",""
"","1767","search_code","Firefox 1024","Thu Jan 16 12:50:16 UTC 2025","passed","Thu Jan 16 12:50:18 UTC 2025","","searxng.spec.js","",""
"","6575","search_videos","Firefox 1024 - centered","Thu Jan 16 12:50:31 UTC 2025","passed","Thu Jan 16 12:50:37 UTC 2025","","searxng.spec.js","",""
"","3221","search_images","Mobile Chrome","Thu Jan 16 12:54:19 UTC 2025","passed","Thu Jan 16 12:54:23 UTC 2025","","searxng.spec.js","",""
"","3691","search_images","Chrome 1920 - high contrast","Thu Jan 16 12:53:21 UTC 2025","passed","Thu Jan 16 12:53:25 UTC 2025","","searxng.spec.js","",""
"","1675","search_code","Mobile Chrome - centered","Thu Jan 16 12:51:38 UTC 2025","passed","Thu Jan 16 12:51:39 UTC 2025","","searxng.spec.js","",""
"","328","about","Firefox 1024 - centered","Thu Jan 16 12:50:45 UTC 2025","passed","Thu Jan 16 12:50:45 UTC 2025","","searxng.spec.js","",""
"","1954","preferences","Firefox 1024","Thu Jan 16 12:49:53 UTC 2025","passed","Thu Jan 16 12:49:55 UTC 2025","","searxng.spec.js","",""
"","7490","search_videos","Webkit 1920","Thu Jan 16 12:53:56 UTC 2025","passed","Thu Jan 16 12:54:03 UTC 2025","","searxng.spec.js","",""
